Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
0,79710,0,0,0,0,0,0,797,0
0,79711,0,0,0,0,0,0,797,0
0,79712,0,0,0,0,0,0,797,0
242,79713,0.02,73800,52188,4,203,592,797,164.19
5813,79714,0.04,88600,57825,19,5259,14786,797,768.38
428,79718,0.93,47700,38636,2,273,721,797,305.87
204,79719,0.02,28000,28958,21,164,397,797,19.13
12529,79720,3.11,65700,45000,37,10805,33640,797,910.98
0,79721,0,0,0,0,0,0,797,0
113,79730,0,14300,44342,2,87,250,797,128.83
1563,79731,0.08,66800,49848,13,1404,4193,797,329.38
86,79733,0,46700,61250,115,72,210,797,1.83
1480,79734,0.05,108300,49146,2,950,2137,797,1293.79
4574,79735,0.04,67100,45291,8,4082,13315,797,1732.81
135,79738,0.9,83800,72656,1,107,275,797,321.69
443,79739,0.42,150900,81250,2,342,963,797,529.37
0,79740,0,0,0,0,0,0,797,0
137,79741,1.24,73800,65000,1,122,288,797,209.72
232,79742,0,29300,35833,8,189,490,797,58.47
175,79743,0.89,62300,66875,1,134,339,797,247.09
607,79744,0,57600,68594,3,499,1362,797,535.58
2601,79745,0.05,44500,48488,16,2206,6125,797,391.71
69,79748,0.08,45000,70417,3,56,173,797,55.28
94,79749,0,59400,64712,4,81,255,797,65.41
